mixture_ID,speaker_1_ID,speaker_1_sex,speaker_2_ID,speaker_2_sex,speaker_3_ID,speaker_3_sex,speaker_4_ID,speaker_4_sex,speaker_5_ID,speaker_5_sex
70-121127-0041_2816-4136-0032_1556-143307-0002_4945-29091-0020_3551-7884-0013,70,M,2816,M,1556,M,4945,M,3551,F
1903-132499-0008_4335-15082-0027_79-121541-0044_6139-58869-0044_5914-52088-0010,1903,M,4335,M,79,F,6139,F,5914,M
6620-283138-0036_3368-170950-0023_2787-157400-0047_3001-160952-0036_6359-64713-0014,6620,F,3368,M,2787,M,3001,F,6359,F
764-132272-0043_1472-285314-0033_6308-68359-0022_8592-285135-0040_1093-132891-0024,764,M,1472,F,6308,F,8592,M,1093,F
5672-75791-0022_7837-109174-0024_487-129440-0018_159-121891-0004_1776-142744-0032,5672,M,7837,M,487,M,159,M,1776,M
1100-135264-0045_2149-8912-0036_6510-62516-0004_500-125123-0020_7982-245691-0016,1100,F,2149,M,6510,M,500,M,7982,F
8699-291107-0057_5975-54006-0086_3001-160952-0013_8824-279153-0084_1058-131113-0003,8699,F,5975,M,3001,F,8824,M,1058,M
1463-134463-0005_1289-288044-0006_716-129581-0024_4010-10822-0023_7258-91905-0007,1463,F,1289,F,716,M,4010,M,7258,M
480-126292-0005_8506-293168-0025_6233-61741-0004_8772-270777-0000_4438-48513-0006,480,M,8506,F,6233,F,8772,M,4438,M
434-132644-0007_3274-167023-0024_115-121720-0012_2494-156018-0013_7140-72212-0024,434,F,3274,M,115,F,2494,M,7140,F
7120-76055-0029_166-352-0017_1789-142896-0050_948-132705-0025_576-129623-0115,7120,F,166,F,1789,M,948,F,576,F
5333-5097-0038_1641-130503-0008_2427-154736-0009_6981-70843-0062_2751-142363-0020,5333,M,1641,F,2427,M,6981,M,2751,F
6120-14976-0013_2404-141240-0065_3092-39501-0104_6317-54487-0105_1460-138289-0044,6120,F,2404,M,3092,F,6317,F,1460,F
3923-181420-0001_2582-155972-0033_4098-11547-0048_4331-57180-0027_1031-133220-0071,3923,M,2582,F,4098,F,4331,F,1031,F
6788-111574-0027_8050-110238-0087_816-2301-0021_8684-293663-0000_8534-216567-0006,6788,F,8050,M,816,M,8684,F,8534,M
2229-152864-0030_5489-10988-0031_1052-139307-0011_8592-285135-0054_240-144999-0029,2229,M,5489,F,1052,F,8592,M,240,M
597-133239-0033_1028-133393-0031_4363-14936-0029_6927-86043-0022_511-131228-0046,597,F,1028,M,4363,F,6927,F,511,M
2992-164100-0058_525-126965-0066_2494-156019-0013_242-122627-0046_4098-11546-0050,2992,M,525,F,2494,M,242,F,4098,F
1337-10673-0011_4289-21393-0067_7991-102381-0094_7704-106965-0023_7881-105574-0018,1337,M,4289,F,7991,M,7704,M,7881,M
1337-10673-0037_968-122544-0044_8113-301693-0014_5261-19371-0015_7495-252341-0023,1337,M,968,F,8113,F,5261,M,7495,F
1066-5330-0014_3927-6556-0071_6300-39660-0035_4945-29091-0032_1509-145699-0014,1066,F,3927,M,6300,F,4945,M,1509,F
2272-152267-0008_303-123507-0002_922-132300-0007_3448-5417-0013_1060-134451-0042,2272,M,303,M,922,M,3448,M,1060,F
636-128331-0011_7802-104398-0008_6788-92420-0026_597-127694-0006_8119-115686-0002,636,F,7802,F,6788,F,597,F,8119,M
6006-60480-0019_7704-106969-0037_4839-15307-0003_3389-13250-0006_7085-2327-0009,6006,F,7704,M,4839,F,3389,M,7085,M
948-132705-0027_240-160593-0024_3851-9210-0118_7339-86765-0051_5115-26951-0006,948,F,240,M,3851,F,7339,M,5115,F
380-129064-0023_7339-86765-0021_4145-34497-0029_409-124990-0074_4848-101836-0016,380,F,7339,M,4145,F,409,M,4848,M
1050-134119-0038_698-123197-0027_3119-163527-0015_850-131003-0021_7434-96672-0032,1050,F,698,F,3119,F,850,M,7434,F
922-132300-0005_1851-151817-0029_5239-31629-0035_4846-18524-0020_4856-20410-0059,922,M,1851,F,5239,M,4846,F,4856,M
5386-8684-0005_2053-138888-0025_7991-102381-0091_1473-135657-0083_2816-4136-0036,5386,M,2053,F,7991,M,1473,M,2816,M
7704-106974-0029_1668-136280-0000_816-2301-0001_7540-101262-0008_1487-133273-0048,7704,M,1668,F,816,M,7540,M,1487,M
2401-144485-0028_398-123602-0004_1182-133396-0005_1556-143307-0036_548-126961-0025,2401,F,398,M,1182,M,1556,M,548,M
5401-39515-0001_548-126961-0015_1801-138032-0029_6014-32886-0018_1165-135220-0042,5401,M,548,M,1801,M,6014,F,1165,M
3922-715-0013_359-133630-0010_1571-138486-0052_6060-106611-0009_5054-18527-0049,3922,F,359,M,1571,M,6060,M,5054,F
345-1129-0002_54-121080-0048_2920-156224-0055_7445-94522-0007_4111-184447-0031,345,M,54,F,2920,F,7445,F,4111,F
4734-220951-0016_3540-163612-0090_1974-139742-0019_3070-166421-0007_154-124003-0029,4734,M,3540,M,1974,F,3070,M,154,M
7139-75360-0042_3361-1150-0018_5809-51162-0029_38-121024-0042_882-123266-0005,7139,M,3361,F,5809,F,38,M,882,F
3001-160952-0054_2577-157236-0048_7085-2327-0022_1678-142279-0055_5489-65803-0006,3001,F,2577,F,7085,M,1678,F,5489,F
1401-174511-0009_1498-140041-0001_8118-268287-0011_2404-141240-0008_835-130876-0076,1401,F,1498,F,8118,F,2404,M,835,M
3483-119637-0037_2481-12731-0014_3866-9920-0036_3551-7887-0025_1112-128136-0010,3483,M,2481,F,3866,M,3551,F,1112,M
3537-5703-0016_664-129011-0007_90-121085-0068_3083-7944-0014_7949-39970-0009,3537,F,664,F,90,M,3083,F,7949,M
434-132650-0006_227-126539-0037_6339-65534-0052_1425-139297-0022_5012-31097-0010,434,F,227,F,6339,F,1425,F,5012,F
671-131030-0022_5727-47030-0016_8347-258283-0063_2517-135227-0032_525-126965-0078,671,M,5727,M,8347,M,2517,M,525,F
2056-143893-0079_7569-102240-0024_4860-13185-0030_3221-9174-0021_5740-97610-0000,2056,F,7569,M,4860,M,3221,M,5740,F
8075-279239-0003_3549-8890-0016_5909-287837-0014_249-121331-0065_3945-29110-0053,8075,F,3549,F,5909,M,249,M,3945,M
3866-9920-0014_6286-75355-0044_5246-5084-0030_2570-157243-0037_5918-46890-0064,3866,M,6286,F,5246,M,2570,F,5918,M
4331-57179-0048_7128-84122-0045_208-128036-0000_510-130103-0001_3289-171109-0013,4331,F,7128,M,208,F,510,M,3289,M
1987-144135-0015_8879-300234-0010_4854-24732-0006_6359-64713-0065_2201-151776-0024,1987,M,8879,M,4854,M,6359,F,2201,M
1705-142318-0084_7967-104986-0031_4839-15305-0012_4116-13265-0007_3224-168199-0004,1705,F,7967,F,4839,F,4116,F,3224,F
8474-281188-0069_5985-300225-0030_6877-77361-0064_639-124526-0004_7498-99124-0018,8474,M,5985,M,6877,M,639,M,7498,F
4226-185488-0015_3368-170952-0006_3224-168198-0032_227-129974-0040_8722-296473-0036,4226,M,3368,M,3224,F,227,F,8722,F
8527-281131-0039_398-123602-0008_3380-6175-0021_1336-138115-0001_7384-84010-0062,8527,M,398,M,3380,F,1336,M,7384,F
6492-68369-0009_1018-133447-0009_2397-162253-0002_5940-54016-0005_4289-21393-0000,6492,M,1018,M,2397,M,5940,M,4289,F
6060-106611-0059_7949-39970-0023_6300-39661-0006_380-129066-0063_6286-75355-0029,6060,M,7949,M,6300,F,380,F,6286,F
1987-144135-0032_6538-81859-0007_922-132291-0026_6286-75355-0057_576-129623-0018,1987,M,6538,M,922,M,6286,F,576,F
7314-77782-0017_8490-284268-0042_1265-135636-0020_1316-132782-0038_454-134728-0000,7314,M,8490,M,1265,M,1316,M,454,M
4629-19366-0096_5039-1189-0015_984-137154-0058_224-128660-0010_119-129514-0023,4629,M,5039,F,984,M,224,F,119,M
510-130560-0024_1776-139035-0012_5293-82020-0007_4519-6171-0006_7754-108640-0026,510,M,1776,M,5293,M,4519,F,7754,F
380-129066-0022_4057-12085-0002_8401-280380-0101_3645-77173-0033_3215-5764-0027,380,F,4057,F,8401,M,3645,F,3215,F
6215-62347-0014_1323-149236-0009_4848-29108-0006_3537-5704-0032_1668-136280-0051,6215,F,1323,M,4848,M,3537,F,1668,F
3781-156981-0009_7832-114468-0032_2787-157400-0051_820-123133-0051_7982-110054-0048,3781,F,7832,M,2787,M,820,M,7982,F
8772-270777-0012_224-128660-0002_7910-105673-0013_2256-137628-0014_362-123047-0027,8772,M,224,F,7910,F,2256,F,362,F
1776-139035-0041_6782-61316-0121_3728-105398-0046_671-131040-0022_8887-281471-0030,1776,M,6782,F,3728,F,671,M,8887,M
8138-287657-0004_1425-139291-0011_8163-274549-0022_2758-86040-0001_5656-44577-0062,8138,M,1425,F,8163,F,2758,F,5656,M
2074-147193-0022_2581-157857-0012_4039-184265-0019_501-125128-0015_4152-12926-0011,2074,M,2581,F,4039,M,501,M,4152,M
6690-73073-0034_6553-86683-0011_1050-134120-0032_2162-185436-0017_4064-19132-0038,6690,M,6553,M,1050,F,2162,M,4064,F
1165-135220-0001_2238-121413-0014_3483-174132-0010_3546-9342-0031_6339-65534-0007,1165,M,2238,M,3483,M,3546,F,6339,F
5246-30101-0037_17-362-0011_175-129587-0034_3483-174132-0032_3717-21498-0004,5246,M,17,M,175,F,3483,M,3717,M
6426-64290-0027_2533-149939-0043_176-123269-0007_100-122655-0031_7140-72210-0033,6426,F,2533,M,176,M,100,F,7140,F
5126-36956-0013_5618-48830-0008_224-128660-0038_1498-140040-0045_7752-110522-0004,5126,M,5618,F,224,F,1498,F,7752,F
3105-166683-0043_5190-87766-0010_4427-20023-0015_3927-6556-0005_3914-10089-0030,3105,M,5190,M,4427,F,3927,M,3914,M
2573-178449-0003_8097-282406-0020_3728-105386-0008_6981-70843-0089_6696-73296-0034,2573,F,8097,F,3728,F,6981,M,6696,F
666-11243-0025_968-122545-0052_4854-24731-0030_4278-13269-0008_2598-4662-0026,666,F,968,F,4854,M,4278,M,2598,F
5802-66347-0025_6686-216563-0072_637-127579-0001_8222-274379-0004_1482-140072-0023,5802,M,6686,M,637,M,8222,M,1482,M
2853-164187-0001_6082-56174-0026_2674-155968-0046_2920-156230-0037_6157-40556-0012,2853,F,6082,F,2674,M,2920,F,6157,M
636-128310-0000_8474-281188-0066_3180-138043-0045_2652-157644-0065_2741-159386-0089,636,F,8474,M,3180,M,2652,F,2741,F
176-122025-0009_899-126232-0025_7957-39967-0024_1903-132499-0090_2517-135227-0034,176,M,899,M,7957,M,1903,M,2517,M
2570-157243-0058_4290-14526-0050_7833-102239-0058_7286-92935-0024_5304-55856-0014,2570,F,4290,M,7833,M,7286,F,5304,M
663-128991-0026_3347-134425-0017_2741-159386-0077_329-862-0031_5940-54613-0001,663,M,3347,F,2741,F,329,M,5940,M
6828-64738-0034_3072-155948-0014_8687-216570-0072_7828-105179-0020_28-12332-0041,6828,F,3072,M,8687,M,7828,M,28,F
4848-28247-0024_4425-14497-0045_4495-18533-0024_7139-88748-0005_1913-143521-0005,4848,M,4425,M,4495,M,7139,M,1913,M
7460-92002-0028_3989-182402-0041_3070-166423-0029_1944-159228-0019_829-123192-0045,7460,M,3989,M,3070,M,1944,F,829,F
7938-109179-0037_5660-101884-0021_7825-258970-0033_559-289453-0032_3914-10089-0018,7938,M,5660,F,7825,M,559,M,3914,M
9022-282383-0039_8421-283462-0050_8113-301693-0031_3009-10327-0044_2240-148529-0015,9022,F,8421,F,8113,F,3009,M,2240,M
957-132568-0017_3258-169291-0082_8592-285135-0002_3927-6557-0070_580-126947-0015,957,M,3258,F,8592,M,3927,M,580,M
1845-147962-0029_4148-183988-0007_3493-46712-0040_8545-287671-0016_5909-287837-0008,1845,F,4148,M,3493,F,8545,F,5909,M
7733-106800-0050_5618-48830-0021_23-124439-0012_3328-166436-0034_2531-156724-0032,7733,F,5618,F,23,F,3328,M,2531,M
5115-26947-0018_7926-254948-0014_1271-128145-0021_1754-137004-0013_3852-175448-0037,5115,F,7926,M,1271,M,1754,F,3852,F
2774-131722-0064_6993-83606-0046_4358-44937-0075_2194-141248-0011_6620-283138-0021,2774,M,6993,M,4358,M,2194,F,6620,F
8464-282934-0088_3866-173230-0008_7910-80534-0038_7520-258986-0011_5154-26559-0015,8464,M,3866,M,7910,F,7520,M,5154,F
5809-58763-0017_1112-128138-0015_5401-39515-0031_1226-141268-0035_7555-101283-0018,5809,F,1112,M,5401,M,1226,M,7555,F
476-133471-0016_7647-102250-0076_2230-132101-0009_8193-116805-0034_7665-104978-0003,476,M,7647,M,2230,F,8193,F,7665,M
816-2301-0016_7594-91192-0044_3728-105398-0040_8855-283228-0034_3224-168199-0006,816,M,7594,F,3728,F,8855,M,3224,F
2882-147159-0040_2688-144987-0035_1801-138032-0056_4967-26520-0027_7139-75360-0040,2882,F,2688,M,1801,M,4967,F,7139,M
1731-142320-0035_4899-32658-0033_4356-6506-0022_3490-177627-0031_7868-110705-0015,1731,F,4899,F,4356,F,3490,M,7868,F
3001-160952-0020_1748-1562-0043_3521-12715-0038_2481-12731-0009_6937-112761-0026,3001,F,1748,M,3521,M,2481,F,6937,F
2812-160187-0015_30-4445-0036_2929-85685-0062_7460-104483-0020_1754-137004-0004,2812,M,30,F,2929,M,7460,M,1754,F
1874-89898-0009_7294-92934-0031_5189-37999-0034_5190-87791-0012_203-132073-0002,1874,M,7294,F,5189,M,5190,M,203,F
5985-300208-0012_2334-150915-0066_7881-105574-0017_2882-147159-0059_4595-45217-0012,5985,M,2334,M,7881,M,2882,F,4595,M
1535-141644-0035_561-126312-0040_3118-5909-0009_8490-284269-0022_1944-159230-0005,1535,M,561,M,3118,M,8490,M,1944,F
3914-10089-0037_7991-102381-0031_7383-95441-0037_5012-80192-0026_7939-120325-0012,3914,M,7991,M,7383,F,5012,F,7939,M
2411-132530-0061_1874-143361-0012_4289-21393-0068_7294-86026-0001_7030-64588-0060,2411,F,1874,M,4289,F,7294,F,7030,M
5810-8689-0011_23-124439-0103_3686-171133-0036_8619-291381-0025_559-289453-0039,5810,M,23,F,3686,M,8619,M,559,M
1639-132848-0052_1769-143485-0022_2056-143893-0066_4111-184448-0039_2577-157236-0083,1639,M,1769,M,2056,F,4111,F,2577,F
1634-141571-0032_7704-106965-0013_369-125883-0052_7134-67200-0011_1752-16632-0059,1634,M,7704,M,369,M,7134,M,1752,F
8713-300047-0005_209-4731-0038_593-126928-0001_7335-290365-0043_711-187466-0073,8713,M,209,F,593,M,7335,F,711,M
7495-252341-0009_1058-133263-0014_1754-137004-0023_1422-149735-0007_1639-132848-0017,7495,F,1058,M,1754,F,1422,F,1639,M
1422-149735-0034_830-130728-0006_30-4445-0040_7011-66622-0062_4335-15082-0014,1422,F,830,F,30,F,7011,M,4335,M
8722-296473-0027_8575-290349-0005_38-121024-0085_8097-114971-0005_2012-139355-0022,8722,F,8575,M,38,M,8097,F,2012,M
4246-12545-0000_6080-58025-0001_597-134789-0017_4592-22179-0045_9022-282357-0023,4246,M,6080,M,597,F,4592,F,9022,F
2319-138656-0033_7538-100044-0017_2696-157636-0026_1160-134674-0009_2393-144496-0085,2319,M,7538,M,2696,M,1160,M,2393,M
3330-170956-0027_7398-98878-0007_4010-10798-0027_4222-187005-0011_2517-135229-0002,3330,F,7398,F,4010,M,4222,F,2517,M
2156-25563-0034_7518-86741-0109_3009-10328-0015_1974-139742-0027_231-127936-0021,2156,M,7518,M,3009,M,1974,F,231,M
4535-279852-0029_7949-39970-0082_5660-101892-0016_408-122806-0089_7932-93470-0011,4535,M,7949,M,5660,F,408,F,7932,F
3368-170950-0029_8534-216567-0036_953-130625-0056_5092-28465-0070_4967-26520-0009,3368,M,8534,M,953,M,5092,M,4967,F
8396-120277-0008_380-129066-0059_6499-91098-0020_3851-9210-0059_8776-270778-0021,8396,M,380,F,6499,M,3851,F,8776,F
