mixture_ID,source_1_path,source_1_gain,source_2_path,source_2_gain,source_3_path,source_3_gain,source_4_path,source_4_gain,source_5_path,source_5_gain,noise_path,noise_gain
8095-274345-0026_322-124146-0019_1235-135887-0029_405-130894-0006_8123-275216-0003,train-clean-100/8095/274345/8095-274345-0026.flac,0.8528757076707225,train-clean-100/322/124146/322-124146-0019.flac,0.5796517142471082,train-clean-100/1235/135887/1235-135887-0029.flac,0.5998798606899284,train-clean-100/405/130894/405-130894-0006.flac,0.6141350878199962,train-clean-100/8123/275216/8123-275216-0003.flac,0.6768397735939601,tr/025o031c_1.8214_01pc0208_-1.8214.wav,2.3406360297703324
2416-152137-0033_5808-54425-0027_3440-171006-0005_8098-278278-0034_4018-107312-0012,train-clean-100/2416/152137/2416-152137-0033.flac,1.1332604834740205,train-clean-100/5808/54425/5808-54425-0027.flac,0.37551683422568505,train-clean-100/3440/171006/3440-171006-0005.flac,0.9355942715284087,train-clean-100/8098/278278/8098-278278-0034.flac,0.3141111454114708,train-clean-100/4018/107312/4018-107312-0012.flac,0.7334902851652872,tr/01zo030j_1.5261_01ko030s_-1.5261.wav,2.3883123377537525
4680-16042-0018_5561-41615-0005_2691-156750-0029_6272-70171-0025_3168-173565-0013,train-clean-100/4680/16042/4680-16042-0018.flac,0.9090091620467216,train-clean-100/5561/41615/5561-41615-0005.flac,0.5035644717621807,train-clean-100/2691/156750/2691-156750-0029.flac,0.8427271215151959,train-clean-100/6272/70171/6272-70171-0025.flac,0.8714871415979664,train-clean-100/3168/173565/3168-173565-0013.flac,0.45960122214079097,tr/01sc0209_1.5014_025o030u_-1.5014.wav,4.397237733951141
7148-7763-0030_7264-92310-0013_831-130739-0061_6078-54013-0039_2289-152254-0022,train-clean-100/7148/7763/7148-7763-0030.flac,0.6333005982043938,train-clean-100/7264/92310/7264-92310-0013.flac,0.6614937180016935,train-clean-100/831/130739/831-130739-0061.flac,0.3301408009941908,train-clean-100/6078/54013/6078-54013-0039.flac,0.4995403683706334,train-clean-100/2289/152254/2289-152254-0022.flac,0.6351726634635955,tr/01ko030g_1.9015_020o030i_-1.9015.wav,4.160100001924731
587-54108-0033_1963-142393-0053_5514-19192-0041_5561-41615-0022_3259-158083-0108,train-clean-100/587/54108/587-54108-0033.flac,1.1511931511474647,train-clean-100/1963/142393/1963-142393-0053.flac,0.15036326610529757,train-clean-100/5514/19192/5514-19192-0041.flac,0.4898429492594342,train-clean-100/5561/41615/5561-41615-0022.flac,0.7427768073159736,train-clean-100/3259/158083/3259-158083-0108.flac,0.6447534496411447,tr/01uo030u_2.4447_20ba010h_-2.4447.wav,1.9982116321735626
7302-86815-0079_2182-181173-0009_1334-135589-0000_1992-141719-0036_39-121915-0001,train-clean-100/7302/86815/7302-86815-0079.flac,0.49653801278317544,train-clean-100/2182/181173/2182-181173-0009.flac,0.6569476149393476,train-clean-100/1334/135589/1334-135589-0000.flac,0.9105902908776277,train-clean-100/1992/141719/1992-141719-0036.flac,0.6386139398013856,train-clean-100/39/121915/39-121915-0001.flac,0.9806256800287909,tr/01ao0303_1.9829_01go030v_-1.9829.wav,0.2923330368081339
6385-34669-0026_5750-35690-0027_7367-86737-0051_289-121665-0041_8238-283452-0018,train-clean-100/6385/34669/6385-34669-0026.flac,1.0052607040839012,train-clean-100/5750/35690/5750-35690-0027.flac,0.6437469731981089,train-clean-100/7367/86737/7367-86737-0051.flac,0.7175284093414616,train-clean-100/289/121665/289-121665-0041.flac,0.5108956082973816,train-clean-100/8238/283452/8238-283452-0018.flac,0.8465580276659334,tr/017c020g_1.2385_01lo030b_-1.2385.wav,2.706621393143689
8797-294123-0051_730-360-0009_2436-2476-0033_4014-186176-0034_4640-19187-0023,train-clean-100/8797/294123/8797-294123-0051.flac,0.5450405472361749,train-clean-100/730/360/730-360-0009.flac,0.4323705165206228,train-clean-100/2436/2476/2436-2476-0033.flac,0.8559808139667234,train-clean-100/4014/186176/4014-186176-0034.flac,0.543251633436302,train-clean-100/4640/19187/4640-19187-0023.flac,0.5299425726573347,tr/025c020z_0.36823_022c0211_-0.36823.wav,1.6926562759591544
5339-14134-0032_2952-408-0009_8095-274345-0032_2416-152137-0028_2182-181183-0010,train-clean-100/5339/14134/5339-14134-0032.flac,0.5215309233304268,train-clean-100/2952/408/2952-408-0009.flac,0.6864296812348759,train-clean-100/8095/274345/8095-274345-0032.flac,0.7145781576247464,train-clean-100/2416/152137/2416-152137-0028.flac,0.5174820497044437,train-clean-100/2182/181183/2182-181183-0010.flac,0.5539088119903507,tr/02ec0214_1.5882_01no0305_-1.5882.wav,1.7838714077210307
27-123349-0025_6064-56165-0004_6925-80680-0073_3664-178366-0017_1624-168623-0004,train-clean-100/27/123349/27-123349-0025.flac,0.6101479516149344,train-clean-100/6064/56165/6064-56165-0004.flac,0.44374394385130406,train-clean-100/6925/80680/6925-80680-0073.flac,0.3821923156343341,train-clean-100/3664/178366/3664-178366-0017.flac,0.28269767073170976,train-clean-100/1624/168623/1624-168623-0004.flac,0.4573547539055065,tr/40la010g_1.7762_40no030h_-1.7762.wav,1.792530900276208
2911-15045-0002_2518-154826-0001_7264-92314-0006_4406-16883-0017_4088-158077-0041,train-clean-100/2911/15045/2911-15045-0002.flac,0.529359100878904,train-clean-100/2518/154826/2518-154826-0001.flac,0.5376076042965624,train-clean-100/7264/92314/7264-92314-0006.flac,0.8345171228074084,train-clean-100/4406/16883/4406-16883-0017.flac,0.5775421819003252,train-clean-100/4088/158077/4088-158077-0041.flac,0.530778406667947,tr/40dc020w_1.9795_401o030k_-1.9795.wav,2.7383692065826417
211-122425-0014_7511-102420-0027_5022-29405-0009_39-121914-0013_2764-36619-0036,train-clean-100/211/122425/211-122425-0014.flac,0.7743666222922323,train-clean-100/7511/102420/7511-102420-0027.flac,0.475347579508152,train-clean-100/5022/29405/5022-29405-0009.flac,0.3721309305085257,train-clean-100/39/121914/39-121914-0013.flac,0.4665067803132449,train-clean-100/2764/36619/2764-36619-0036.flac,1.2994885481833365,tr/01fo0317_1.745_01oa010u_-1.745.wav,1.4808197131958263
